YEAR,FILM,FILM_ID,COUNTRY,COUNTRY_ID,VOTER,VOTER_ID,DIRECTOR,DIRECTOR_ID,GENDER,GENDER_ID,ROLE,ROLE_ID
,,,Sweden,aaa6f4d7-e773-407e-9320-4ccf74fd1496,Marten Blomkvist,337,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,Germany,f199d5d9-3baf-4150-bfe6-166dcffa7016,Hans-Michael Bock,550,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,Montenegro,78ff7e63-c2d2-4be0-8935-a0e67e811262,Maja Bogojevic,374,,,Female,4de969c1-1e2c-4a4c-b4fa-ad2a81839310,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,Spain,74a5a2ac-b864-49db-afa5-55ae23f8d99b,Enrique Bolado,633,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Programmer,08dc0e35-ef76-4915-a844-8940ccc7d6b3
,,,Mexico,562ed02a-d9d7-4237-989d-807219980870,Carlos Bonfil,745,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,UK,abd853e8-6146-4b4f-b134-2db1684056c2,Guido Bonsaver,560,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Academic,75fb4b86-82c6-403a-a487-160772270eb7
,,,Denmark,cd6e087d-55ba-415b-9b86-dd8d9211d471,Ole Bornedal,1097,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,South Africa,64bdef65-b2e3-4b16-b1ac-0c2897197f0e,Martin Botha,333,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Academic,75fb4b86-82c6-403a-a487-160772270eb7
,,,UK,abd853e8-6146-4b4f-b134-2db1684056c2,Josephine Botting,458,,,Female,4de969c1-1e2c-4a4c-b4fa-ad2a81839310,Archivist,d7833291-b97a-47d4-90b4-4634a832f68a
,,,Spain,74a5a2ac-b864-49db-afa5-55ae23f8d99b,Núria Bou,239,,,Female,4de969c1-1e2c-4a4c-b4fa-ad2a81839310,Academic,75fb4b86-82c6-403a-a487-160772270eb7
,,,UK,abd853e8-6146-4b4f-b134-2db1684056c2,Don Boyd,931,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,UK,abd853e8-6146-4b4f-b134-2db1684056c2,Nick Bradshaw,259,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,UK,abd853e8-6146-4b4f-b134-2db1684056c2,Peter Bradshaw,206,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,UK,abd853e8-6146-4b4f-b134-2db1684056c2,Martin Brady,332,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Academic,75fb4b86-82c6-403a-a487-160772270eb7
,,,Ireland,465cff01-88b1-4caa-8220-38467ab5ae9d,Tara Brady,67,,,Female,4de969c1-1e2c-4a4c-b4fa-ad2a81839310,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,UK,abd853e8-6146-4b4f-b134-2db1684056c2,Kenneth Branagh,1020,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,Romania,ca9e32a8-0b25-429e-b7b1-750f7ffdc778,Dorian Branea,652,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Programmer,08dc0e35-ef76-4915-a844-8940ccc7d6b3
